Name;TextBody;Subject;Priority;AGR_Extra_Information_Root_Cause__c;AGR_Type_of_Complaint__c;AGR_Reason_for_Complaint__c;AGR_Root_Cause__c;ParentId;lang;Complaint
1;Lauren De Baets Customer Service Agristo nv P +32 56 54 11 52 --------------- Forwarded Message --------------- From: [ms@tomex.dk] Sent: 27/05/2024 14:45 To: service@agristo.com Subject: Purchase Contract no. 1000167 Dear Lauren , Attached please find enclosed Purchase Contract for Order No. 1000167 . Thank You for this business Thanks;Purchase Contract no. 1000167;Low;;;;;500QD00000FC9LaYAL;en;False
1;Thanks for the feedback dear! As the next available sailing is next week, we should be able to receive the booking confirmation still this week right ?;AG2608 - SHIPPIN REQUEST;Normal;;;;;500QD000008f8xxYAA;en;False
1;Hi, Please can I get those 5 pallets of coated added to this order urgently: [cid:image001.jpg@01DAB101.D51D1EB0] Thanks Regards [cid:image002.jpg@01DAB101.D51D1EB0];PR-ORD-0013627;Low;;;;;500QD00000FG4LeYAL;en;False
1;Thanks for the update Marie!;Agristo/ Dagab/ remaining stock Sweet potato wedges;Normal;;;;;500QD00000AMpauYAD;en;False
1;Lauren De Baets Customer Service Agristo nv P +32 56 54 11 52 --------------- Forwarded Message --------------- From: [ms@tomex.dk] Sent: 27/05/2024 14:48 To: service@agristo.com Subject: Purchase Contract no. 1000167 Dear Agristo nv , Attached please find enclosed Purchase Contract for Order No. 1000167 . Thank You for this business Thanks;Purchase Contract no. 1000167;Urgent;;;;;500QD00000FC3piYAD;en;False
1;Dear Sandra, Thank you for this confirmation!!;Bookings - POs 203/24 - 427/24 - 428/24 -  Copacol;Normal;;;;;500QD00000FCIFBYA5;en;False
1;Hi Catherine Thank you for your email. Due to a system error, the invoice got split per delivery group. Please find the other invoice for PO 756725, 90605781 attached. I will sent you a credit note for the document cost that was twice calculated. My apologies for the inconvenience!;PO 756725 Invoice;Low;;;;;500QD00000FGGhiYAH;en;False
1;Hi Pieter, I hope you are well. Is it possible please you could share the current stock of MPW Tater Tots and the forward production plan? Thanks, Sean Sean Tanner​​​​ | Business Development Associate | The Menu Partners Unit 227‑237 Distribution Block A New Covent Garden Market London SW8 5EN T: 0207 720 7755 <tel:0207%C2%A0720%C2%A07755> M: 07545 474418 <tel:07545%20474418> E: sean.tanner@the-menu.com <mailto:sean.tanner@the-menu.com> W: www.the-menu.com <https://protect.checkpoint.com/v2/___https://uk.content.exclaimer.net/?url=http%3A%2F%2Fwww.the-menu.com%2F&tenantid=BTJcIcgrEeqLAygYeMJkig&templateid=680da17e2632eb11b9ed281878b14875&excomponentid=gKIADn_MMu526tkDBgKZKMH6xaHFB2lCniPGMkV_q8U&excomponenttype=Link&signature=JR8vGyS9-lE1pVJdV3x-piiUOSjgZaN2t0hIJTi2msNIk-E7MkmfOUS7TykEadHpNPOJB478dpsWWoaSvMwlVk6ZUhYGiVea2PY42IVhnxOCwxb64t1gHBebVAeg2q3k7N4XzBYP_wXrX47Y_qMxRnZfoj2EURkVVCSnVFFt7PfeQnXc_Q9Hrm60JedY_yeNisZepB0QkTYX7qZeT-CjP9P7srodpChdeX4pavoUwr2cxkXFEKMJBaxJgeFV2sAFYQUTGyYok667YidghWJ2oOnlrMBiLxRpYspBOQ_SH47YiPWFXAMsdAfS8DQXuwGNJGnG-CkwaS8lWubLtpw7KQ&v=1&imprintMessageId=c4df62db-f334-4ecc-becf-7925a5ee7173___.YzJlOmFncmlzdG86YzpvOjRjM2U4ZWM2ODlkODVlNDRmY2IzN2MyZjhlYTBlMTY0OjY6YjI3MDphNzU4MDMzMmUzYmM0MDkwYWRhZmRkNTMyNWJkZDJhOWJiYjlmNGU4ZWIxZTM1YjgxMDU3NDI5ZjdkMzlmMWIyOmg6VA> <https://protect.checkpoint.com/v2/___https://uk.content.exclaimer.net/?url=https%3A%2F%2Fwww.facebook.com%2Fthemenupartners&tenantid=BTJcIcgrEeqLAygYeMJkig&templateid=680da17e2632eb11b9ed281878b14875&excomponenttype=SocialMediaIcon&signature=fXNnMtXCCJiLExC7TzkQvZAbN9b_DjvYMHjoxTylfve9ekRr_VI3bt02oCIk4AI0RjWOvHJEQxVTH0z9hT5skk4SE_JLhxF4-QPim8LPESS5pZ49YoqxojDcyXlEFgoW7TfyGqXJZthP2xwpDK8faYENOnxncgwWHGXn6pDc_9LNrn2w6E4uac08tZvYu8wwhaPUSyMTsb3C4PZMvaTlleR9Tk_NBbK25E4dBGjEQEOw62EFdn-X9v81it6g1C2xaZ1f1EqbFZXeFasKKYNaE6zQLmopGYlq2RRU7cAk1mAcKa-SPmfl2xoPLrJ71oW9sJ68dvrrSxINqCUBimrIhA&v=1&imprintMessageId=c4df62db-f334-4ecc-becf-7925a5ee7173___.YzJlOmFncmlzdG86YzpvOjRjM2U4ZWM2ODlkODVlNDRmY2IzN2MyZjhlYTBlMTY0OjY6YzQzYTozNDViZmE1ZjQyNDE3NjdjNWZkZDg1ZDc1MTNhMDI4YjRhMzJjNzdkYTBkOTg5MThmYTRjZjI5MzhkODFlMDAwOmg6VA> <https://protect.checkpoint.com/v2/___https://uk.content.exclaimer.net/?url=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fthe-menu-partners&tenantid=BTJcIcgrEeqLAygYeMJkig&templateid=680da17e2632eb11b9ed281878b14875&excomponenttype=SocialMediaIcon&signature=yZosH90e9VQ8Rn0XeE245gcZDnRaF0nt1bh-_iKVhGQnHsIQZb2trkSn8YQnQMC2XUWe-drRQa462wS0IlA3CXnLGFCVeRRlW8CSi-1XF7zZapSeApFGknf26Wf-85JPaVh8t1-Bctu21Nd0n81Xi4w9UoqdyoVPpj-cUlKZ01Bi_mpiWebAMrjt-Pl37HbuW0h-qSMvat05PJT3xDj48FJ8g5D-n8qp5vEpoS9-jTAYVXTVA2_i5JzhzdPsfaLSOJtI2khRtFQ8g1caKAXMDC_TH-FM0haRrOgnONCDlDrRfqDdhJxFKzCNR83U4u7HV-OytnXRFvL4tSlZ0sI0fQ&v=1&imprintMessageId=c4df62db-f334-4ecc-becf-7925a5ee7173___.YzJlOmFncmlzdG86YzpvOjRjM2U4ZWM2ODlkODVlNDRmY2IzN2MyZjhlYTBlMTY0OjY6ZjU0Yjo2ZTlmYTliMTJjZjY1MDI3OWIxODMzMzM2OTE4NDhjNmZjMjE0MDgxZThhNzlhNDk1YWNjZDYwMTRlYTkwNDU5Omg6VA> <https://protect.checkpoint.com/v2/___https://uk.content.exclaimer.net/?url=https%3A%2F%2Fwww.instagram.com%2Fthemenupartners%2F&tenantid=BTJcIcgrEeqLAygYeMJkig&templateid=680da17e2632eb11b9ed281878b14875&excomponenttype=SocialMediaIcon&signature=cngA7VcJxvRpATFo5KqBC11JglylgzNNpvmoQ-Z9mP_a1niFwZejqlGuY-4fcJYs3XVzCGz9yQM__DO-AnY0Z-JYpXXmpvIMX3z2SoyaxuDtP1ULymhS7OtfS93_0jOsGFO3TevPipMv36U7st3_AVpf9a_xknAJNU0dXzwI9J0NlT52v-Le6HHeIK-VxiFIuccB6Hnsf661AUF8u4xPYNysaEUHGvdSGZB6uJcA8h4P3PIGUV4JIOloDcq0Runhh8nJABW44ll393Q92Zk53F-j6biAj-_ZqY8dLfaUz11pJBtiZt7ybq401wVI711A1xHRIb8WBRk4AAsYSuV8Rg&v=1&imprintMessageId=c4df62db-f334-4ecc-becf-7925a5ee7173___.YzJlOmFncmlzdG86YzpvOjRjM2U4ZWM2ODlkODVlNDRmY2IzN2MyZjhlYTBlMTY0OjY6MWFlYTowNWZmZDBmYWM5NTk4ZDlmOTZhMGJlYzA4MDBlNTVlZjJmOWNhMjhkYzI5MTlkZWVmOWNkM2UyM2MwYzFiMzg3Omg6VA> The contents of this e‑mail are confidential and for the exclusive use of the intended recipient. ​​​If you are not the intended recipient ​you should not read, copy, retransmit or disclose its contents. ​If you have ​received this email in error, please delete it from your system immediately and notify us either by email or telephone. ​The views expressed in this communication may not necessarily be the views held by The Menu Partners Limited. ​ The Menu Partners | The Shed | Charbridge Lane | Bicester | OX26 4SS | UK | Company Number: 12696009;MPW Tater Tots;Normal;;;;;500QD00000FG7hjYAD;en;False
1;Hi Madeline, Thank you for the order, it is confirmed for delivery as requested.;KFF Order - Agristo - 264386;Urgent;;;;;500QD00000FGCkdYAH;en;False
1;Hello Louise, Seafrigo will handle the customs on your behalf. Thank you,;RE: White Toque Canada : Purchase Order #PO0052503 - Delivery Seafrigo;Normal;;;;;500QD00000FF3Y2YAL;en;False
